project,url
24 Pull Requests, https://github.com/24pullrequests/24pullrequests
A/B Tester, https://github.com/gabrieltempass/ab-tester
AASM, https://github.com/aasm/aasm
AB3C, https://ab3c.org.br/
ACM-W NITK, https://github.com/acm-w-nitk/acm-w-nitk.github.io
Actionhero, https://www.actionherojs.com/
Active Admin, https://github.com/activeadmin/activeadmin
ActsAsTextcaptcha, https://github.com/matthutchinson/acts_as_textcaptcha
Airbnb, https://airbnb.io/codeofconduct/
Algorithm Archive, https://github.com/algorithm-archivists/algorithm-archive
Algorrent, https://github.com/algorrent/algorrent
All Algorithms, https://github.com/AllAlgorithms/algorithms
Amsterdam.rb, https://amsrb.org/code-of-conduct/
Ancient Beast, https://AncientBeast.com
Android IMSI-Catcher Detector, https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector
angular-formly, https://github.com/formly-js/angular-formly
APInf, https://github.com/apinf/platform
AppSignal, https://docs.appsignal.com/appsignal/contributing/code-of-conduct.html
ArchiSteamFarm, https://github.com/JustArchiNET/ArchiSteamFarm
Asqatasun, https://gitlab.com/asqatasun/Asqatasun
AVA, https://github.com/avajs/ava
Avanade, https://github.com/Avanade
Backlight deb packages, https://github.com/gorlapraveen/blacklight-deb-packages
Baleen CLI, https://github.com/baleen/cli
Baleen Migrations, https://github.com/baleen/migrations
BcnEng, https://bcneng.org
Beagle Framework,https://github.com/ZupIT/beagle
Bearsampp, https://bearsampp.com/code-of-conduct
Begynner, https://github.com/marcker/begynner
Bionode, https://www.bionode.io/
BioSigKit, https://github.com/hooman650/BioSigKit
bitmath, https://github.com/tbielawa/bitmath/
BootstrapVue, https://github.com/bootstrap-vue/bootstrap-vue
BoxBilling, https://boxbilling.org/
Bridge.NET, https://bridge.net/
Brighter, https://github.com/BrighterCommand/Brighter
brightness_bashshell_script, https://github.com/gorlapraveen/brightness_bashshell_script
Bundler, https://github.com/rubygems/bundler
c-3po, https://c-3po.js.org/
Cake, https://cakebuild.net/
Calypso (WordPress.com), https://github.com/Automattic/wp-calypso
Celluloid, https://github.com/celluloid/celluloid
Cesium, https://github.com/CesiumGS/cesium
Chalk, https://github.com/chalk/chalk
Changelog.com, https://changelog.com/
CHAOSS Project, https://chaoss.community/
CharlesCD,https://github.com/ZupIT/charlescd
Chatwoot, https://www.chatwoot.com/docs/contributing-guide/code-of-conduct
Checkstyle for Haxe, https://github.com/HaxeCheckstyle/haxe-checkstyle
City of Sault Ste. Marie, https://github.com/cityssm
clearwater.rb, https://github.com/clearwater-rb/clearwater
Climate Equity Reference Calculator, https://github.com/climateequityreferenceproject/cerc-web
Cloud Native Compute Foundation, https://www.cncf.io/
CloudI, http://cloudi.org/faq.html#2_CodeOfConduct
Codebridge, https://github.com/codebridge-za
CodeBuddies, https://github.com/codebuddies/codebuddies
Coding Coach, https://github.com/Coding-Coach/coding-coach
Compose Generator, https://github.com/compose-generator/compose-generator
composer, https://github.com/composer/composer
comptoir-du-libre, https://gitlab.adullact.net/Comptoir/Comptoir-srv
concurrent-ruby, https://github.com/ruby-concurrency/concurrent-ruby
conduct, https://github.com/sindresorhus/conduct
Contrast-Finder, https://github.com/Asqatasun/Contrast-Finder
Crackle, https://github.com/jordanekay/Crackle
Create React App, https://github.com/facebook/create-react-app
Create Rome App, https://github.com/romeland/create-rome-app
Dagster, https://github.com/dagster-io/dagster
Data Retriever, https://github.com/weecology/retriever
datacoco-batch, https://github.com/equinoxfitness/datacoco-batch
datacoco-cloud, https://github.com/equinoxfitness/datacoco-cloud
datacoco-core, https://github.com/equinoxfitness/datacoco-core
datacoco-db, https://github.com/equinoxfitness/datacoco-db
datacoco-email_tools, https://github.com/equinoxfitness/datacoco-email_tools
datacoco-ftp_tools, https://github.com/equinoxfitness/datacoco-ftp_tools
datacoco-redis_tools, https://github.com/equinoxfitness/datacoco-redis_tools
datacoco-secretsmanager, https://github.com/equinoxfitness/datacoco-secretsmanager
Dawnscanner, https://github.com/thesp0nge/dawnscanner
DC/OS, https://dcos.io/
Deckhouse, https://github.com/deckhouse/deckhouse
Dependent, https://github.com/dependent/dependencies
DevAndDev, https://devand.dev/
Deviser Platform, https://github.com/deviserplatform/deviserplatform
Diversity Handbook, https://github.com/DanRoeSparks/diversity-handbook
Dokku, https://github.com/dokku/dokku
Doublify, https://github.com/doublify
Drachenhorn, https://github.com/Drachenhorn-Team/Drachenhorn
Dracut, https://github.com/dracutdevs/dracut
dxw, https://www.dxw.com
ECB Exchange, https://github.com/matthutchinson/ecb_exchange
Eclipse Che, https://github.com/eclipse/che
Eldest Daughter Questionnaire, https://github.com/eldest-daughter/ed-questionnaire
elimu.ai, https://github.com/elimu-ai
Ellie-Language, https://github.com/behemehal/Ellie-Language
Facebook, https://opensource.facebook.com/code-of-conduct
fanKounter, https://github.com/HZKnight/fanKounter
Firefox B2B Communication for Internet access, https://github.com/gorlapraveen/firefox_b2b_comm_radio_addon
First Contributions, https://github.com/firstcontributions/first-contributions
Freedomotic, https://github.com/freedomotic/freedomotic
friends, https://github.com/JacobEvelyn/friends
Fukuzatsu, https://gitlab.com/coraline/fukuzatsu/tree/master
funKounter, https://github.com/lucliscio/fankounter
Funky Penguin's Geek Cookbook,https://geek-cookbook.funkypenguin.co.nz/community/code-of-conduct/
GDS, https://github.com/alphagov
GEOPM, https://geopm.github.io/
GetTogether, https://github.com/GetTogetherComm/GetTogether
Git for Windows, https://github.com/git-for-windows
Giveth, https://wiki.giveth.io/policy/codeofconduct/
Glimpse, https://glimpse-editor.org
GlobaLeaks, https://github.com/globaleaks/GlobaLeaks
GMT, https://www.generic-mapping-tools.org/
GNSS-SDR, https://github.com/gnss-sdr/gnss-sdr
GNU Guix and GuixSD, https://guix.gnu.org/
Golden Cobra, https://github.com/ikuseiGmbH/Goldencobra
GorangoCSS, https://gorangocss.kawanua.id/codeofconduct/
GoReleaser, https://github.com/goreleaser/goreleaser
Grape, https://github.com/ruby-grape/grape
GraphQL Code Generator, https://github.com/dotansimha/graphql-code-generator
GraphQL Config, https://github.com/kamilkisiela/graphql-config
GraphQL ESLint, https://github.com/dotansimha/graphql-eslint
GraphQL Inspector, https://github.com/kamilkisiela/graphql-inspector
GraphQL Mesh, https://github.com/Urigo/graphql-mesh
GraphQL Modules, https://github.com/Urigo/graphql-modules
GraphQL Scalars, https://github.com/Urigo/graphql-scalars
GraphQL Tools, https://github.com/ardatan/graphql-tools
Grav CMS, https://github.com/getgrav/grav
Gremlins tracker for Visual Studio Code, https://github.com/nhoizey/vscode-gremlins
Growing Devs, https://github.com/growingdevs/growingdevs.github.io
H2O Wave, https://github.com/h2oai/wave
Hacken.in, https://github.com/hacken-in/hacken-in
HandBrake, https://github.com/HandBrake/HandBrake
HaskellNow.org, http://www.haskellnow.org/#Projects
HealingRa.in Projects, https://gitlab.com/groups/healing-rain
Heptio Contour, https://github.com/projectcontour/contour
Heptio Gimbal, https://github.com/projectcontour/gimbal
Holidays, https://github.com/holidays/holidays
Hoppscotch, https://github.com/hoppscotch/hoppscotch
Horusec,https://github.com/ZupIT/horusec
Hotels.com, https://github.com/HotelsDotCom
HTML5 Boilerplate, https://github.com/h5bp/html5-boilerplate
HTTPicnic, https://github.com/henry-anderson/HTTPicnic
HTTPotion, https://github.com/myfreeweb/httpotion
Huh? Dictionary, https://github.com/Yaacoub/Huh-Dictionary
icepyx, https://github.com/icesat2py/icepyx
if me, https://github.com/ifmeorg/ifme
irhamdzuhri.com, https://github.com/irhamdz/irhamdzuhri.com
iText, https://itextpdf.com/en
Java Builders Generator, https://github.com/khabali/java-builders-generator
jekyll-octopod, https://jekyll-octopod.github.io/conduct/
Johnny-Five, https://github.com/rwaldron/johnny-five
Jolie, https://jolie-lang.org/
jPOS, https://github.com/jpos
JRuby Gradle, https://github.com/jruby-gradle/jruby-gradle-plugin
json-rpc, https://github.com/pavlov99/json-rpc
Keptn, https://keptn.sh/
Kibi, https://github.com/ilai-deutel/kibi
Kickoff, https://github.com/TryKickoff/kickoff/
Kiva, https://github.com/kiva
Kornia, https://github.com/kornia/kornia
LA Devs, https://github.com/la-devs/ladevs.org
Laravel.io, https://github.com/laravelio/laravel.io
LifxDash, https://github.com/matthutchinson/lifx_dash
Linkedin skills, https://github.com/shweteekta/100-Days-of-ML-Code-/blob/master/Scrapping%20of%20linkedin%20Skills.py
Linkrot, https://github.com/marshalmiller/linkrot
Linode, https://github.com/linode/docs
Lolcommits Plugins, https://github.com/search?q=topic%3Alolcommits-plugin+org%3Alolcommits
Lolcommits, https://github.com/lolcommits/lolcommits
Mailchain, https://github.com/mailchain/mailchain
Mailspring, https://github.com/Foundry376/Mailspring
Mapbox, https://github.com/mapbox
Marc Bernard Tools, https://github.com/Marc-Bernard-Tools/MBT-Base
Marquez, https://github.com/MarquezProject/marquez
Mattermost, https://github.com/mattermost
Maximilian, https://github.com/WillLiu360/maximilian
Mensa, https://github.com/jordanekay/Mensa
Meridian, https://github.com/nicholaswyoung/meridian
Metasploit Framework, https://github.com/rapid7/metasploit-framework
Metasploit, https://github.com/rapid7/metasploit-framework
Microsoft, https://opensource.microsoft.com/codeofconduct/
Monkey Type, https://github.com/monkeytypegame/monkeytype/
Monsti CMS, http://monsti.org/
Moya, https://github.com/Moya/Moya
Mudlet, https://github.com/Mudlet/Mudlet
MyBB, https://mybb.com/
MyPaint, https://github.com/mypaint/mypaint
N#, https://github.com/n-language/n-
Navidrome Music Server, https://www.navidrome.org/
NColony, https://github.com/ncolony/ncolony
Neos, https://www.neos.io/
Nerd Fonts, https://github.com/ryanoasis/nerd-fonts
NetworkReachability, https://reachability.tools
NGINX, https://github.com/nginxinc/kic-reference-architectures
Nodejs Africa, https://nodejs.africa/
Noice, https://github.com/ashutoshgngwr/noice
nteract, https://nteract.io/
OAPI ShieldsUp, https://github.com/oapi/shieldsup
Ombi, https://ombi.network
Onnx-go, https://github.com/owulveryck/onnx-go
Open Privacy Tech, https://github.com/openprivacytech
Open WebRTC Toolkit, https://github.com/open-webrtc-toolkit
OpenArchive, https://open-archive.org/
OpenDominion, https://github.com/OpenDominion/OpenDominion
OpenDroneMap, https://github.com/OpenDroneMap/ODM
OpenFeature, https://openfeature.dev/
OpenJS Foundation, https://github.com/openjs-foundation/
OpenMined, https://github.com/OpenMined/
OpenProject, https://www.openproject.org/
Operable, https://github.com/operable/
ORGENIC UI, https://github.com/orgenic/orgenic-ui
Orientation, https://github.com/orientation/orientation
Ornament, https://github.com/jordanekay/Ornament
OWASP Core Business Application Security, https://owasp.org/www-project-core-business-application-security/
OWASP Juice Shop, https://owasp.org/www-project-juice-shop/
OWASP ZAP, https://github.com/zaproxy/zaproxy
Pale Moon, http://www.palemoon.org/
Panamax, https://github.com/CenturyLinkLabs/panamax-ui
Pash, https://github.com/Pash-Project/Pash
PatternFly, https://github.com/patternfly/patternfly
Perfect, https://github.com/PerfectlySoft/Perfect
PeteBishwhip, https://github.com/PeteBishwhip/
Pexip - Video Conferencing SDK, https://github.com/pexip/pexkit-sdk
pg_chameleon - MySQL to PostgreSQL replica, https://github.com/the4thdoctor/pg_chameleon
phpMyAdmin, https://www.phpmyadmin.net/
PHPStan, https://phpstan.org/
Phylum CI, https://github.com/phylum-dev/phylum-ci
pimutils, https://pimutils.org/coc/
PiVPN, https://github.com/pivpn/pivpn
Pixi.js Haxe Externs, https://github.com/pixijs/pixi-haxe
Platform.sh, https://platform.sh
Playscii, http://vectorpoem.com/playscii/
pmap, https://github.com/bruceadams/pmap
postcss-glitch, https://github.com/crftd/postcss-glitch
Pottery, https://github.com/brainix/pottery
prance (Resolving Swagger/OpenAPI 2.0 Parser), https://github.com/jfinkhaeuser/prance
PRAW, https://github.com/praw-dev/praw
Pre-filled repository, https://github.com/GuglielmoPepe/pre-filled-repository
Pressbooks, https://github.com/pressbooks/pressbooks
ProcessIterator, https://github.com/console-helpers/process-iterator
PyBBIO, https://github.com/graycatlabs/PyBBIO
PyGMT, https://github.com/GenericMappingTools/pygmt
PyMC3, https://github.com/pymc-devs/pymc3
PyMC4, https://github.com/pymc-devs/pymc4
Python Girona, https://pythongirona.cat/
Python-dwca-reader, https://github.com/BelgianBiodiversityPlatform/python-dwca-reader
PyVista, https://github.com/pyvista/pyvista
QA-Tools, https://github.com/qa-tools/qa-tools
Quack Lang, https://github.com/quack/quack
Quick, https://github.com/Quick/Quick
Rack::Attack, https://github.com/rack/rack-attack
Random Bookmark From Folder, https://github.com/PixievoltNo1/RandomBookmark
React to styled, https://github.com/react-to/react-to-styled
ReactiveUI, https://github.com/reactiveui/reactiveui
ReactiveX/RxJS, https://github.com/ReactiveX/RxJS
Realm, https://realm.io/conduct/
Recidiviz, https://github.com/Recidiviz/
Redash, https://github.com/getredash/redash
Rekrei, https://github.com/rekrei/rekrei
Repo Template, https://github.com/krishdevdb/repo-template
Reseter.css, https://github.com/krishdevdb/reseter.css
Ring Programming Language, https://github.com/ring-lang/ring
Ritchie CLI,https://github.com/ZupIT/ritchie-cli
Robocar, https://github.com/Yaacoub/Robocar
Robopager, https://github.com/equinoxfitness/robopager
Rocket.Chat, https://github.com//RocketChat/Rocket.Chat
ROOT-Sim, https://github.com/HPDCS/ROOT-Sim/
Rowy, https://github.com/rowyio/rowy
Ruby for Cats, https://github.com/rubyforcats
Ruby Hero Awards, https://github.com/rubyheroes/rubyheroes.com
rubygems, https://github.com/rubygems/rubygems
SaltStack, https://github.com/saltstack/salt
Sass Guidelines, https://github.com/HugoGiraudel/sass-guidelines
SassDoc, https://github.com/sassdoc/sassdoc
Scrapy, https://scrapy.org/
Secrez, https://github.com/secrez/secrez
Serialport, https://github.com/serialport/node-serialport
Sevilla Maker Society, https://github.com/maker-society-svq
Shoes, https://github.com/shoes/shoes4
Skeptycal.com, https://github.com/buefy/buefy
Skyscanner, https://github.com/skyscanner
Snipe-IT, https://github.com/snipe/snipe-it
Snuffle, https://gitlab.com/coraline/snuffle/tree/master
Software Carpentry, https://github.com/swcarpentry
Software Foundations Chinese Translation, https://github.com/Coq-zh/SF-zh
Sonobuoy, https://github.com/vmware-tanzu/sonobuoy
Soosyze CMS, https://soosyze.com/charte-code-conduite-contributeurs
SOSC/VTU-Lab-Material, https://github.com/so-sc/VTU-Lab-Material/
SOULs, https://github.com/elsoul/souls
Sovereign Cloud Stack, https://github.com/SovereignCloudStack/Docs/
SPIP, https://www.spip.net/fr_rubrique91.html
Spree, https://github.com/spree/spree
Spring Boot, https://github.com/spring-projects/spring-boot
Squirrel for Windows, https://github.com/squirrel/squirrel.windows
SquirrelJME, https://squirreljme.cc/
Stack.io, https://github.com/germanstack
StackGres, https://stackgres.io
Starship, https://starship.rs/
Storybook, https://github.com/storybookjs/storybook
Styled Hooks, https://github.com/colingourlay/styled-hooks
SubsonicGroupFinder, https://github.com/SubsonicGroupFinder/
SuiteCRM, https://suitecrm.com/
Supergiant, https://supergiant.io/thank-you/
Swathanthra Malayalam Computing, https://smc.org.in/
SwellRT, https://github.com/P2Pvalue/swellrt/
Swiss Post, https://github.com/swisspost
Tachiyomi Extensions, https://github.com/tachiyomiorg/tachiyomi-extensions
Tachiyomi, https://github.com/tachiyomiorg/tachiyomi
Tahoe-LAFS, https://github.com/tahoe-lafs/tahoe-lafs
Taiga.io, https://github.com/taigaio/code-of-conduct
Tamiat CMS, https://github.com/tamiat/tamiat
tbox, https://github.com/tboox/tbox
Teem, https://github.com/P2Pvalue/teem/
Termidinator, https://github.com/Yaacoub/Termidinator
terraform-aws-modules, https://github.com/terraform-aws-modules
The Anadromi Project, https://github.com/anadromi/the-anadromi-project
The PHP League OAuth 2.0 Server, https://github.com/thephpleague/oauth2-server
Tide, https://github.com/wptide/wptide
TigrisDB, https://github.com/tigrisdata/tigrisdb
TinyMCE, https://www.tiny.cloud/docs/configure/contributing-to-open-source/
Tmuxinator, https://github.com/tmuxinator/tmuxinator
Turbolinks, https://github.com/turbolinks/turbolinks
Twisted, https://github.com/twisted/twisted
União Colegial de Minas Gerais, https://github.com/ucmg
UXP, https://github.com/MoonchildProductions/UXP
Velero, https://github.com/vmware-tanzu/velero
Viash, https://github.com/viash-io/viash
Video.js, https://github.com/videojs/video.js
VideoSnap, https://github.com/matthutchinson/videosnap
vim cheat sheet, https://github.com/rtorr/vim-cheat-sheet
VimDevIcons, https://github.com/ryanoasis/vim-devicons
VirtAPI-Stack, https://github.com/virtapi/
Volt.rb, https://github.com/voltrb/volt
Vox Pupuli, https://voxpupuli.org/
VSAlert, https://vsalert.vsanthanam.com
VSTeam, https://github.com/MethodsAndPractices/vsteam
WAI-request-spec, https://gitlab.com/cpp.cabrera/wai-request-spec
Waud, https://github.com/adireddy/waud
Weaviate, https://github.com/semi-technologies/weaviate
Webiny, https://github.com/webiny/webiny-js
Webwide, https://webwide.io/help/code-of-conduct/
Wechaty, https://wechaty.js.org/docs/community/code-of-conduct/
xmake, https://github.com/tboox/xmake
XO, https://github.com/sindresorhus/xo
xoreos, https://github.com/xoreos/xoreos
xterm.js, https://github.com/xtermjs/xterm.js
yargs, https://github.com/bcoe/yargs
Yarn, https://github.com/yarnpkg/yarn
Your First PR, https://github.com/yourfirstpr/
ZoneMinder, https://github.com/ZoneMinder/
